Адрес,lat,lon
"Слободская, д.45",53.844897,27.4576211
"Слободская, д.69",53.8451503,27.4553194
"Космонавтов, 3/6,",53.8537276,27.4620067
"Космонавтов, 30,",53.8491724,27.4546127
"Космонавтов, 37,",53.8479574,27.4579237
"Космонавтов, 44, ",53.8475458,27.4538388
"Космонавтов, д. 23/1",53.8539606,27.4670239
"Космонавтов, д. 5/1 ",53.8506904,27.4573592
"Космонавтов, д.48",53.8506904,27.4573592
"Громова, д. 20",53.8551391,27.4481297
"Громова, д. 22",53.8539663,27.4460472
"Есенина, 63,",53.856864,27.4432051
"Есенина, д. 11",53.8491428,27.4651626
"Космонавтов, 3-4,",53.8539606,27.4670239
"Тышкевичей, д.19",53.8797569,27.472052
"Льва Сапеги, д. 11",53.8765003,27.4942501
"Алибегова, 10,",53.8740905,27.4804006
"Льва Сапеги, д.9",53.8765003,27.4942501
"Гурского, 37,",53.8783642,27.4922847
"Прилукская, 42, ",53.8845386,27.4992796
"2-ой переулок Стасова, 9",,
"Коржа, д.7",53.8932752,27.5223995
"Коржа, д. 22",53.8932752,27.5223995
"Либкнехта, 67,",53.8938804,27.5247807
"Куприянова, д.9",53.8964095,27.5140749
"Р. Люксембург, 3А,",,
"пр-т. газ. ""Звязда"", 15,",,
"Рафиева, 25-1, ",53.8659653,27.4551455
"пр-т. Любимова, д.12",53.8600743,27.4697625
"пр-т. газ. ""Звезда"", д.14орп.3",,
"пр-т. газ. ""Звезда"", д.19",,
"пр-т. газ. ""Звезда"", д.23",,
"пр-т. газ. ""Звезда"", д.28орп.1",,
"пр-т. газ. ""Звязда"", 26,",,
"пр-т. газ. ""Правда"", 22, ",,
"пр-т. газ. ""Правда"", 3а",,
"пр-т. газ. ""Правда"", 42,",,
"пр-т. газ. ""Правда"", д. 54 ",,
"пр-т. газ. ""Правда"", д.9а",,
"пр-т. газ.""Правда"", 54, ",,
"пр-т. газ.""Правда"", д.60орп.2",,
"пр-т. Дзержинского, 9, ",53.891286,27.5317587
"пр-т. Дзержинского, д. 11 ",53.8879869,27.5220168
"пр-т. Дзержинского, д. 9 ",53.891286,27.5317587
"Жуковского, д.27",53.8794546,27.5499761
"Аэродромная, д. 17",53.8727474,27.5325768
"Воронянского, д. 3 ",53.8772198,27.5612884
"Воронянского, д.4орп.2",,
"Авакяна, д.30орп.3",,
"Короткевича, 4",53.8732546,27.5333995
"Воронянского, 15, ",53.8791025,27.5487659
"Воронянского, 15/2,",53.8790918,27.5539703
"Воронянского, д. 21",53.8790918,27.5539703
"Германовская, д. 9",53.8692038,27.5596686
"Могилёвская, 16, ",53.8842675,27.547153
"Могилевская, 36, ",53.8844172,27.556138
"Могилевская, д. 34/2 ",53.9074591,27.7993636
"Могилевская, д. 8/2 ",53.8854242,27.5451245
"Артиллеристов, д.20",53.8835327,27.5584135
"Аэродромная, 42,",53.8705581,27.5596949
"Жуковского, 25,",53.8786043,27.5530809
"Жуковского, д.5орп.1",,
"Левкова, д. 30",53.8819144,27.5562197
"Левкова, д.13",53.8819144,27.5562197
"Левкова, д.17",53.8819144,27.5562197
"Аэродромная, 34,",53.8712451,27.5573629
"Чкалова, д.15орп.1",,
"Казинца, д. 27А, о",,
"Брестская, д.79орп.2",,
"Корженевского, д. 1/2 ",53.8464704,27.5258044
"Корженевского, д.21",53.8464704,27.5258044
"Кижеватова, 16",53.8638073,27.530847
"Кижеватова, д.7орп.2",,
"Кобринская, д.6",53.858807,27.525378
"Ландера, 10,",53.8406772,27.4997994
"Ландера, 30,",53.8408688,27.4940534
"Ландера, д. 6",53.841125,27.4851062
"Казинца, д. 102",53.8444197,27.5052314
"Кижеватова, 66,",53.8476503,27.5346835
"пер. Корженевского, 10, ",53.8461996,27.528355
"пер. Корженевского, 2А, ",53.8446715,27.5258952
"пер. Корженевского, д.4",53.8464704,27.5258044
"Корженевского, 31, ",53.846252,27.5036953
"Кижеватова, 76, ",53.8451639,27.5322756
"Асаналиева, 2, ",53.8525145,27.5550652
"Асаналиева, д.7",53.851311,27.552832
"Пирогова, 11",53.8486828,27.5534759
"Асаналиева, 15,",53.8453487,27.5441075
"Авиации, д. 9",,
"Авиации, д.14",,
"Слесарная, д.20",53.9008678,27.5877016
"Багратиона, д. 30",53.910703,27.6328122
"Багратиона, д.73",53.9056754,27.6227063
"Авангардная, 52А,",53.9104104,27.6307421
"Высокая, 11В, ",53.915182,27.675
"Ботаническая, 17",53.9075949,27.6048345
"Кошевого, 30",53.8840589,27.6024191
"Ванеева, 26,",53.8798649,27.6096741
"Фабричная, д. 30",53.8856492,27.59158
